date,email,count_sessions,sum_beacon_value,nunique_beacon_type,count_user_stay,count_pay_attempt,count_buy_click,nunique_gender,nunique_dob,nunique_language,nunique_report_type,nunique_device,profile_submit_count,transactions_amount,conversion_status
2021-05-10,2454779,1,6,1,3,0,0,1,1,1,1,1,4,0.0,0
2021-06-22,2882883,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-22,2888958,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-05-14,2633072,1,1,1,1,0,0,1,1,1,1,1,0,-1.0,0
2021-07-07,3029084,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-11,2804536,1,10,1,4,0,0,1,1,1,1,1,11,0.0,0
2021-06-12,2809012,3,23,3,10,0,0,1,2,1,1,1,26,0.0,0
2021-07-03,2983378,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-06-13,2821432,1,11,2,4,0,1,1,1,1,1,1,2,0.0,0
2021-06-14,2831544,1,11,2,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-04,2624957,1,10,1,4,0,0,1,1,1,1,1,5,0.0,0
2021-06-24,1054151,1,10,1,4,0,0,1,1,1,1,1,3,0.0,0
2021-06-20,2871364,3,31,4,12,0,0,2,3,1,1,1,9,0.0,0
2021-05-02,2574946,1,11,2,4,0,1,1,1,1,1,1,3,0.0,0
2021-07-01,2970286,4,24,5,11,0,0,1,1,1,2,1,8,0.0,0
2021-06-17,912623,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-03,2736722,1,1,1,1,0,0,1,1,1,1,1,0,-1.0,0
2021-05-10,1918325,1,1,1,1,0,0,1,1,1,1,1,4,0.0,0
2021-05-11,2348239,1,12,3,4,1,1,1,1,1,1,1,3,999.0,0
2021-07-31,682483,1,1,1,1,0,0,1,1,1,1,1,3,0.0,0
2021-07-21,3089003,1,3,1,2,0,0,1,1,1,1,1,5,0.0,0
2021-06-24,2904416,2,21,3,8,0,1,1,1,1,1,1,2,0.0,0
2021-05-26,2684886,1,10,1,4,0,0,1,1,1,1,1,1,0.0,0
2021-07-01,2968715,1,3,1,2,0,0,1,1,1,1,1,4,0.0,0
2021-07-27,3223779,1,11,2,4,0,0,1,1,1,1,1,5,0.0,0
2021-06-24,2901484,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-06-30,2956955,1,10,1,4,0,0,1,1,1,1,1,4,0.0,0
2021-07-18,3141413,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-05-19,2654869,1,3,1,2,0,0,1,1,1,1,1,1,0.0,0
2021-07-21,3172501,1,10,1,4,0,0,1,1,1,1,1,2,0.0,0
2021-07-06,3013976,1,3,1,2,0,0,1,1,1,1,1,2,0.0,0
2021-05-06,2600713,1,11,2,4,0,1,1,1,1,1,1,4,0.0,0
