date,email,count_sessions,sum_beacon_value,nunique_beacon_type,count_user_stay,count_pay_attempt,count_buy_click,nunique_gender,nunique_dob,nunique_language,nunique_report_type,nunique_device,profile_submit_count,transactions_amount,conversion_status
2021-05-16,2640224,2,25,7,8,1,4,1,1,1,1,1,10,1698.0,1
2021-05-08,1535836,1,11,2,4,0,1,1,1,1,1,1,7,2097.0,1
2021-05-09,2538544,1,1,1,0,1,0,1,1,1,1,1,9,75899.0,1
2021-05-08,2608918,1,138,3,16,1,1,1,1,1,1,1,5,1848.0,1
2021-07-07,3023182,1,2,2,1,0,1,1,1,1,1,1,4,899.0,1
2021-06-12,584671,1,11,2,4,0,0,1,1,1,1,1,7,2947.0,1
2021-06-25,2910171,1,13,4,4,1,2,1,1,1,1,1,7,4545.0,1
2021-05-31,2716259,1,14,3,4,2,2,1,1,1,1,1,4,1798.0,1
2021-06-23,2898018,1,2,2,0,1,1,1,1,1,1,1,5,899.0,1
2021-06-29,1494903,1,6,3,2,1,2,1,1,1,1,1,4,999.0,1
2021-06-25,2880232,4,12,10,5,2,4,1,1,1,1,1,15,2997.0,1
2021-06-23,2892634,2,24,5,8,1,3,1,1,1,1,1,5,1798.0,1
2021-06-20,2831396,3,27,7,10,2,1,1,2,1,1,1,32,3896.0,1
2021-07-21,3172603,1,5,3,2,1,1,1,1,1,1,1,3,999.0,1
2021-07-08,3032349,1,10,1,4,0,0,1,1,1,1,1,3,499.0,1
2021-07-12,3021336,3,26,14,7,4,5,1,1,1,1,1,9,3896.0,1
2021-07-08,3038433,1,213,4,20,1,2,1,1,1,1,1,5,999.0,1
2021-07-21,3169584,1,12,3,4,1,1,1,1,1,1,1,6,999.0,1
2021-06-16,2832347,1,10,1,4,0,0,1,1,1,1,1,4,949.0,1
2021-05-10,1328114,2,11,4,5,1,1,1,1,1,1,1,15,1848.0,1
2021-05-20,2539262,1,13,3,4,1,2,1,1,1,1,1,4,899.0,1
2021-07-22,3174636,3,20,6,8,1,1,1,1,1,1,1,5,999.0,1
